Total Electricity Consumption (A),Total Fuel Consumption (B),Energy Consumption Through Other Sources (C),Total Energy Consumption (A+B+C),Total Renewable Energy Consumption,Total Non-Renewable Energy Consumption,Energy Intensity,File Name,ATTACHMENT_x,ATTACHMENT_y
121815.56,53.58,,,,,11.7,AGS_TRANSACT_TECHNOLOGIES_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AGSTRA_04092024212017_AGSTTLBRSR.pdf
2015614514078.0,748533584812.0,,2764148098890.0,,,71.7,Ahluwalia_Contracts_(India)_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/532811_03092024144843_ACILAR23_24_BRSR.pdf
960197.05,536487.4341,,,,,6.3,AIA_Engineering_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AIAENG_14082024193733_SubmissionofBRSR.pdf
,77124.63,,,,,0.00017171,Ajanta_Pharma_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AJANTPHARM_18062024183236_BRSR.pdf
84268.36,0.0,0.0,127761.7,,,0.0,AJMERA_REALTY_&_INFRA_INDIA_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AJMERA_17072024180748_IntimationBRSRSD.pdf
,5552.0,,,,,1.0,Akzo_Nobel_India_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AKZOINDIA_05072024130509_AkzoBRSR2023_24.pdf
15371.0,99874.91,,,,,0.00197271,Alembic_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ALEMBICLTD_11072024174433_AL_SE_Intimation_BRSR_signed.pdf
339607.41,547128.13,0.0,201587.13,,,73.24,ALEMBIC_PHARMACEUTICALS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APLLTD_21062024182214_Intimation_BRSR_2023_24_Signed.pdf
164761789.0,172468098.0,,408317392.0,,,0.029,Alicon_Castalloy_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ALICON_11092024121417_Report.pdf
345509.0,,,116651.0,,,17.08,Alkem_Laboratories_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ALKEM_26072024181314_ExchangeintimationBRSR2324signedfinal.pdf
139927.0,2448060.0,,,,,16.0,ALKYL_AMINES_CHEMICALS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ALKYLAMINE_08062024135311_BRSRFINAL.pdf
21761.49,4251.91,0.0,1342.88,,,22.4,Allcargo_Gati_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/GATI_17082024192640_BRSRFY24.pdf
4740.79,0.0,0.0,76.05,,,58.02,Allcargo_Logistics_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ALLCARGO_06092024123109_SEupload.pdf
17584.0,1029.0,,,,,1.0,ALLSEC_TECHNOLOGIES_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ALLSEC_05072024214031_SEIntimationBRSR.pdf
3183039.0,24306.0,0.0,,,,1345543.0,ALOK_INDUSTRIES_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ALOKINDUS_09082024201434_1.pdf
229313.46,107807.69,0.0,,,,,Amber_Enterprises_India_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AMBER_20072024153514_SEBRSR2024.pdf
,,,,,,,AMBIKA_COTTON_MILLS_LIMITED_2022.0.pdf,,https://nsearchives.nseindia.com/corporate/AMBIKCO_27082024141730_BRSR202324.pdf
,,,,,,,AMBIKA_COTTON_MILLS_LIMITED_2022.0.pdf,,https://nsearchives.nseindia.com/corporate/AMBIKCO_11012024120303_BRSRPDF1.pdf
,,,,,,,AMBIKA_COTTON_MILLS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AMBIKCO_27082024141730_BRSR202324.pdf
,,,,,,,AMBIKA_COTTON_MILLS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AMBIKCO_11012024120303_BRSRPDF1.pdf
2961536.0,9.0,0.0,,,,,Ambuja_Cements_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AMBUJACEM_01062024103541_FINALBRSR_ACL.pdf
51564.6,240063.07,0.0,,,,48.013,Ami_Organics_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AMIORG_29082024191546_CoveringwithBRSR.pdf
4976521.0,5454333.92,2024.0,,,,15238.3,AMRUTANJAN_HEALTH_CARE_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AMRUTANJAN_30082024210233_BRSRsd.pdf
3217.3,69.41,,,,,3.25,ANAND_RATHI_WEALTH_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ANANDRATHI_24052024182132_BRSRLetterReport.pdf
7274.11,55.19,0.0,,,,9.17,Anant_Raj_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ANANTRAJ_26062024170202_BRSR_2023_2024.pdf
1025570.31,7866164.96,0.0,0.0,,,0.0,Andhra_Paper_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ANDHRAPAP_19072024182323_BRSRreport.pdf
3222.1,224.0,0.0,,,,0.0048,Angel_One_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ANGEL8896_18072024194546_IntimationforfilingofBRSR.pdf
2022.0,3331940.0,,,,,3.923,Anjani_Portland_Cement_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APCL_16072024114516_BRSRIntimation.pdf
20.27,337.0,,,,,7.4e-05,Antony_Waste_Handling_Cell_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AWHCL_03092024232655_543254BRSR.pdf
230834.0,934968.0,,89315.0,,,0.072426374,Anupam_Rasayan_India_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ANURAS_07092024184859_ARILSLDSTX20240907038BRSR.pdf
138620.0,100258.0,5713.0,,,,4.0,APAR_Industries_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APARINDS_31072024171002_SubmissionofBRSR.pdf
76278.0,642704.0,5548.0,,,,1.0,Apcotex_Industries_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APCOTEXIND_04072024182156_brsrintimationsigned.pdf
0.0,0.0,0.0,,,,0.11,Apeejay_Surrendra_Park_Hotels_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ASPHL_07092024135709_BRSR.pdf
59670.31,928.55,3102.23,63701.09,,,0.7922,APEX_FROZEN_FOODS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APEX_08092024163022_brsr.pdf
525319.0,662510.0,,,206748.0,,6.0,APL_Apollo_Tubes_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APLAPOLLO_31082024115519_SE_APL_BRSR_Report.pdf
519155.67,12889290.75,,,,,0.0016,APOLLO_HOSPITALS_ENTERPRISE_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APOLLOHOSP_29082024160540_BRSR_FY2024.pdf
751170.3,,,,,,1.0,Apollo_Micro_Systems_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APOLLO_04092024180954_BRSR_Report.pdf
101967.0,220534.0,,,,,4.0,Apollo_Pipes_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APOLLOPIPE_02092024134845_BRSRStx.pdf
1387013.0,3102802.0,,765648.0,,,10.47,Apollo_Tyres_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APOLLOTYRE1_02072024160157_IntimationBRSR02072024.pdf
2837.88,64.694,0.0,0.0,,,5.748,APTECH_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APTECHT_04092024111422_BRSRUPLOAD.pdf
1041465.0,,,,,,356.91,Aptus_Value_Housing_Finance_India_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/APTUS_22072024194333_AVH_BRSR_FY24_SD.pdf
18.08,1343.11,,,,,1.0,Archean_Chemical_Industries_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ARCHEAN_05062024195630_IntimationBRSR.pdf
2491.31,1.74,,,,,8.9e-09,ARIHANT_CAPITAL_MARKETS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ARIHANTCAP_06092024211554_BRSR_FINAL.pdf
